,AGE,LENGTH,MAPSCOGRID,SLOPE,SUBAREA,DIAMETER,MATERIAL,PACP,SUBAREA_Encoded,MATERIAL_Encoded,MAPSCOGRID_Encoded
2476,42.0,525,48C,0.0054,BF02_04,18,CONCRETE,2,7,2,320
2477,20.9,605,90B,0.0143,CF03_04,8,D.I.,1,61,3,898
2478,13.4,337,75A,0.0016,WF03_03,18,P.V.C.,1,319,6,667
2479,33.1,26,75E,0.0881,WF03_03,6,C.I.,1,319,1,671
2480,38.0,9,75G,0.2222,CF10_04,8,V.C.,3,102,8,673
2481,11.4,90,75E,0.1029,WF03_03,8,P.V.C.,1,319,6,671
2482,8.8,185,81J,0.0017,VC01_02,60,FIBERGLASS,1,253,4,822
2483,3.6,285,21W,0.0048,BF09_03,8,P.V.C.,2,43,6,164
2484,8.8,800,81J,0.0015,VC01_02,60,FIBERGLASS,2,253,4,822
2485,26.0,59,74Y,0.0032,CF12_02,8,D.I.,1,112,3,665
2486,10.5,23,75R,0.0013,CF04_01,48,CONCRETE,2,63,2,682
2487,15.3,440,75Y,0.0038,CF04_06,8,P.V.C.,1,68,6,689
2488,10.3,108,90E,0.0065,CF04_05,8,H.D.P.E.,1,67,5,901
2489,2.8,6,76B,0.0033,WF02_02,8,P.V.C.,1,313,6,692
2490,34.2,120,49Q,0.0495,BF02_02,8,V.C.,1,5,8,356
2491,63.2,102,89D,0.0088,CF04_05,6,CONCRETE,4,67,2,866
2492,8.1,43,89D,0.004,CF04_05,8,H.D.P.E.,1,67,5,866
2493,13.8,501,76Q,0.0302,CF02_02,8,P.V.C.,3,54,6,705
2494,12.1,83,76L,0.0386,CF02_02,8,P.V.C.,1,54,6,701
2495,1.2,186,64T,0.0039,BF03_01,8,P.V.C.,1,8,6,521
2496,1.2,332,64T,0.004,BF03_01,8,P.V.C.,1,8,6,521
2497,48.2,126,75U,0.0016,CF05_01,48,CONCRETE,3,70,2,685
2498,10.5,193,75R,0.0008,CF04_01,48,CONCRETE,2,63,2,682
2499,30.2,563,66S,0.0687,VC02_03,8,P.V.C.,1,260,6,557
2500,15.4,74,66S,0.0473,VC02_03,8,D.I.,1,260,3,557
2501,30.1,257,104A,0.0359,SC09_01,6,P.V.C.,1,229,6,37
2502,16.0,53,76X,0.1308,CF03_03,6,P.V.C.,1,60,6,712
2503,16.1,324,90C,0.0124,CF03_04,8,H.D.P.E.,1,61,5,899
2504,18.3,211,74G,0.0952,WF03_04,6,V.C.,1,320,8,649
2505,33.0,186,75E,0.0458,WF03_03,6,V.C.,3,319,8,671
2506,81.9,515,75F,0.0476,CF10_04,6,D.I.,2,102,3,672
2507,85.8,24,90K,0.0042,CF04_04,6,CONCRETE,2,66,2,906
2508,32.0,1297,65L,0.0004,BF01_04,90,CONCRETE,2,3,2,530
2509,72.4,327,64P,0.0098,BF03_02,6,CONCRETE,3,9,2,517
2510,2.7,406,64P,0.002,BF03_02,18,P.V.C.,1,9,6,517
2511,1.2,265,64T,0.004,BF03_01,8,P.V.C.,1,8,6,521
2512,0.3,471,64T,0.0033,BF03_01,8,P.V.C.,1,8,6,521
2513,1.5,318,22T,0.0039,BF08_02,8,P.V.C.,1,38,6,181
2514,1.8,100,76G,0.0074,CF02_01,8,P.V.C.,2,53,6,697
2515,14.2,100,67Z,0.0007,VC01_01,42,FIBERGLASS,1,252,4,583
2516,11.2,17,75K,0.0882,CF11_07,8,P.V.C.,1,110,6,676
2517,8.8,475,81E,0.0015,VC01_01,60,FIBERGLASS,1,252,4,819
2518,4.2,9,35S,0.04,BF05_03,8,P.V.C.,1,22,6,248
2519,0.4,200,90V,0.0278,SC08_01,8,P.V.C.,1,223,6,916
2520,51.2,710,75R,0.001,CF11_01,48,CONCRETE,3,104,2,682
2521,25.1,74,76J,0.1289,CF04_01,6,D.I.,2,63,3,699
2522,30.2,70,66S,0.0854,VC02_03,8,P.V.C.,2,260,6,557
2523,22.7,53,89K,0.004,CF05_03,8,CONCRETE,3,72,2,872
2524,24.5,516,75Y,0.0026,CF04_06,12,P.V.C.,1,68,6,689
2525,10.1,185,89C,0.004,CF05_02,8,P.V.C.,1,71,6,865
2526,13.1,158,75P,0.1239,CF11_01,8,H.D.P.E.,1,104,5,680
2527,4.1,226,35S,0.0052,BF05_03,8,D.I.,1,22,3,248
2528,8.2,66,75F,0.0041,CF10_04,8,P.V.C.,1,102,6,672
2529,33.0,129,75E,0.0061,WF03_03,6,V.C.,1,319,8,671
2530,2.7,119,64P,0.0019,BF03_02,18,P.V.C.,1,9,6,517
2531,65.9,501,64P,0.0058,BF03_02,6,CONCRETE,1,9,2,517
2532,15.3,405,78Q,0.0178,SC11_02,8,P.V.C.,1,244,6,753
2533,47.4,199,74J,0.0389,WF04_03,6,CONCRETE,2,324,2,651
2534,51.3,27,75U,0.0033,CF11_01,48,CONCRETE,3,104,2,685
2535,33.2,207,89F,0.0237,CF05_03,6,V.C.,1,72,8,868
2536,33.2,142,89K,0.0441,CF05_03,8,CONCRETE,3,72,2,872
2537,38.8,122,104A,0.0053,SC08_06,6,V.C.,2,228,8,37
2538,15.6,534,90K,0.006999999999999999,CF04_04,8,P.V.C.,1,66,6,906
2539,5.1,108,66C,0.0042,BF01_03,8,P.V.C.,1,2,6,544
2540,17.5,271,103U,0.0223,SC07_06,8,P.V.C.,1,221,6,31
2541,13.2,134,103K,0.0093,SC09_04,8,P.V.C.,1,232,6,22
2542,86.2,484,76J,0.0008,CF10_01,24,CONCRETE,4,99,2,699
2543,57.4,8,74T,3.3625,CF12_02,8,CONCRETE,5,112,2,660
2544,17.7,557,89Z,0.0385,SC08_06,6,V.C.,2,228,8,886
2545,20.6,25,90S,0.016,SC08_02,10,V.C.,1,224,8,913
2546,86.7,376,75M,0.0069,CF10_05,8,CONCRETE,4,103,2,678
2547,29.9,295,63Y,0.0024,BF04_01,15,P.V.C.,3,15,6,499
2548,0.8,159,76L,0.0037,CF02_01,30,FIBERGLASS,1,53,4,701
2549,11.6,57,75M,0.0047,CF10_05,8,P.V.C.,1,103,6,678
2550,13.7,201,78T,0.0388,SC11_03,8,P.V.C.,1,245,6,756
2551,0.0,593,79K,0.0191,VC06_03,8,P.V.C.,1,278,6,772
2552,60.3,28,68S,0.0029,VC01_01,54,CONCRETE,3,252,2,586
2553,9.6,715,67Z,0.0006,VC01_01,72,FIBERGLASS,2,252,4,583
2554,54.9,212,80D,0.0185,VC03_03,18,CONCRETE,3,265,2,801
2555,20.7,96,90T,0.0044,SC08_02,10,P.V.C.,1,224,6,914
2556,14.1,172,32Q,0.0059,MC07_02,8,P.V.C.,2,175,6,207
2557,26.3,320,104N,0.0083,SC07_02,8,P.V.C.,1,217,6,49
2558,31.6,188,103J,0.0255,CF09_04,6,P.V.C.,2,97,6,21
2559,56.3,271,90X,0.0028,SC08_03,6,V.C.,2,225,8,918
2560,47.6,194,74J,0.0704,WF04_03,6,CONCRETE,2,324,2,651
2561,60.0,1191,81C,0.0004,VC01_01,48,CONCRETE,1,252,2,818
2562,57.6,149,90S,0.0201,SC08_02,6,CONCRETE,2,224,2,913
2563,28.8,180,90S,0.008,SC08_02,8,V.C.,3,224,8,913
2564,26.0,152,67U,0.0038,VC03_01,15,P.V.C.,1,263,6,578
2565,14.9,75,67X,0.0044,VC03_02,8,P.V.C.,1,264,6,581
2566,14.9,394,67X,0.0039,VC03_02,8,P.V.C.,1,264,6,581
2567,20.0,453,66X,0.0246,VC02_02,8,P.V.C.,1,259,6,562
2568,20.0,79,66X,0.0075,VC02_02,8,P.V.C.,1,259,6,562
2569,13.6,378,48Z,0.013999999999999999,MC02_02,8,P.V.C.,1,146,6,341
2570,17.0,192,62D,0.0105,MC02_02,8,P.V.C.,1,146,6,456
2571,39.4,718,103F,0.0083,SC09_04,6,V.C.,1,232,8,18
2572,6.7,46,76B,0.0039,CF10_01,8,P.V.C.,1,99,6,692
2573,11.5,291,21X,0.005,BF09_03,15,P.V.C.,2,43,6,165
2574,55.8,23,64R,0.0004,BF02_01,90,CONCRETE,1,4,2,519
2575,44.1,936,64H,0.0024,BF02_01,36,CONCRETE,2,4,2,511
2576,44.0,436,89S,0.0079,CF07_05,12,CONCRETE,3,86,2,879
2577,27.7,393,88R,0.0041,CF07_03,12,P.V.C.,2,84,6,854
2578,27.7,116,88R,0.0364,CF07_03,10,P.V.C.,1,84,6,854
2579,4.9,58,46H,0.0919,MC07_01,8,P.V.C.,1,174,6,284
2580,5.0,166,47E,0.0271,MC07_01,8,P.V.C.,1,174,6,300
2581,28.4,77,76N,0.0143,CF04_01,24,D.I.,2,63,3,703
2582,51.2,350,75R,0.001,CF11_01,48,CONCRETE,2,104,2,682
2583,59.3,80,90V,0.0098,SC08_01,6,V.C.,2,223,8,916
2584,59.3,319,90V,0.0019,SC08_01,6,V.C.,3,223,8,916
2585,86.2,898,76N,0.0009,CF04_01,24,CONCRETE,5,63,2,703
2586,30.1,431,66S,0.0039,VC02_03,8,P.V.C.,2,260,6,557
2587,14.8,445,31H,0.0013,MC05_05,36,P.V.C.,2,166,6,191
2588,15.1,550,32E,0.0013,MC05_05,36,P.V.C.,3,166,6,199
2589,17.7,16,74Y,0.0088,CF12_02,8,P.V.C.,1,112,6,665
2590,6.0,241,66C,0.0041,BF01_03,8,P.V.C.,1,2,6,544
2591,6.7,342,49U,0.004,BF02_02,10,P.V.C.,1,5,6,360
2592,44.1,880,50X,0.003,BF02_01,30,CONCRETE,1,4,2,374
2593,9.5,250,47E,0.0146,MC07_01,8,P.V.C.,1,174,6,300
2594,1.0,44,77L,0.1266,SC01_04,8,P.V.C.,4,187,6,725
2595,3.4,267,78M,0.0064,SC10_05,8,H.D.P.E.,2,239,5,750
2596,14.9,125,88H,0.0129,CF07_02,8,P.V.C.,1,83,6,847
2597,61.2,100,74N,0.0178,CF12_03,8,V.C.,2,113,8,655
2598,9.6,318,46H,0.0034,MC07_01,10,P.V.C.,1,174,6,284
2599,51.7,286,80C,0.0426,VC04_02,8,CONCRETE,4,268,2,800
2600,20.7,110,90S,0.004,SC08_02,10,D.I.,1,224,3,913
2601,7.5,975,80Q,0.0096,VC01_02,42,FIBERGLASS,3,253,4,812
2602,7.5,100,80Q,0.0061,VC01_02,42,FIBERGLASS,2,253,4,812
2603,11.3,124,78D,0.0089,SC10_07,8,P.V.C.,2,241,6,742
2604,1.8,374,76G,0.0023,CF02_01,10,P.V.C.,2,53,6,697
2605,15.4,85,78T,0.0272,SC10_08,8,D.I.,1,242,3,756
2606,27.5,284,80F,0.0049,VC01_03,8,P.V.C.,1,254,6,803
2607,5.6,311,80F,0.0089,VC01_03,8,P.V.C.,1,254,6,803
2608,56.3,415,90X,0.0161,SC08_03,6,V.C.,1,225,8,918
2609,12.4,202,74W,0.0213,CF12_08,8,H.D.P.E.,1,118,5,663
2610,48.2,54,75U,0.0019,CF05_01,48,CONCRETE,3,70,2,685
2611,30.2,196,66S,0.0041,VC02_03,8,P.V.C.,2,260,6,557
2612,22.5,269,66S,0.0682,VC02_03,8,P.V.C.,1,260,6,557
2613,5.1,95,66C,0.004,BF01_03,8,P.V.C.,1,2,6,544
2614,38.5,952,47T,0.003,MC04_01,33,V.C.,3,157,8,313
2615,13.4,330,103E,0.004,SC09_04,8,P.V.C.,1,232,6,17
2616,14.5,112,104N,0.004,SC07_02,8,P.V.C.,1,217,6,49
